Model,MAE,RMSE,MAPE (%),RMSPE (%),R²
LR,10929.681562552185,21403.380242841962,18.925276976687798,43.55681578402154,0.9413196511737641
XGB,10462.51754556027,21654.027496717812,17.61364584101682,38.98153693202163,0.9399372350732151
RF,10887.023495657108,22891.38397708446,18.42976476289504,43.739176025244,0.9328768926456396
CNN,14723.212321205287,28210.493770631652,25.794956240183843,64.75291694743342,0.8983126688398105
LSTM,15932.273111013783,30970.01390791185,27.455794844698744,69.10431785846265,0.8774457787848371
