Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,fertilizer_kg/ha,solar_radiation_MJ/m2-day
Albania,Maize,1990,36613,611.57,121.0,16.37,176.1658031,15.42
Albania,Maize,1991,29068,831.29,121.0,15.36,54.15224913,14.89
Albania,Maize,1992,24876,706.6,121.0,16.06,40.65743945,15.17
Albania,Maize,1993,24185,707.24,121.0,16.05,31.00519931,15.78
Albania,Maize,1994,25848,783.94,201.0,16.96,25.59792028,15.9
Albania,Maize,1995,31300,1063.68,251.0,15.67,19.06412478,14.8
Albania,Maize,1996,32604,1022.04,313.96,15.64,11.26516464,14.44
Albania,Maize,1997,31862,632.99,376.93,15.9,8.996539792,15.79
Albania,Maize,1998,33416,970.91,439.89,16.27,43.32755633,15.85
Albania,Maize,1999,37455,978.25,502.86,16.57,18.37088388,15.35
Albania,Maize,2000,38811,715.87,565.82,16.67,32.35294118,15.96
Albania,Maize,2001,38135,783.87,628.79,16.59,32.35294118,15.83
Albania,Maize,2002,39460,901.64,691.75,16.47,97.58477509,14.99
Albania,Maize,2004,46197,1189.15,817.68,16.16,101.3079585,15.47
Albania,Maize,2005,45442,994.52,880.64,15.67,112.3754647,15.55
Albania,Maize,2006,50111,853.6,943.61,15.92,85.80308219,15.66
Albania,Maize,2007,46732,826.27,1006.57,16.67,88.42041522,16.0
Albania,Maize,2008,50000,800.1,1069.54,16.71,77.31147541,15.86
Albania,Maize,2009,55693,1207.21,1132.5,16.73,90.37931034,15.45
Albania,Maize,2010,66790,1372.06,1311.17,16.52,85.02236422,15.27
Albania,Maize,2011,59869,523.06,1302.63,16.45,97.4340836,16.5
Albania,Maize,2012,67290,922.28,766.25,16.7,93.06089485,16.39
Albania,Maize,2013,69533,854.59,982.32,17.41,88.1704748,15.56
Albania,Potatoes,1990,66667,611.57,121.0,16.37,176.1658031,15.42
Albania,Potatoes,1991,77818,831.29,121.0,15.36,54.15224913,14.89
Albania,Potatoes,1992,82920,706.6,121.0,16.06,40.65743945,15.17
Albania,Potatoes,1993,98446,707.24,121.0,16.05,31.00519931,15.78
Albania,Potatoes,1994,81404,783.94,201.0,16.96,25.59792028,15.9
Albania,Potatoes,1995,111323,1063.68,251.0,15.67,19.06412478,14.8
Albania,Potatoes,1996,106138,1022.04,313.96,15.64,11.26516464,14.44
Albania,Potatoes,1997,109874,632.99,376.93,15.9,8.996539792,15.79
Albania,Potatoes,1998,127212,970.91,439.89,16.27,43.32755633,15.85
Albania,Potatoes,1999,142018,978.25,502.86,16.57,18.37088388,15.35
Albania,Potatoes,2000,141228,715.87,565.82,16.67,32.35294118,15.96
Albania,Potatoes,2001,148818,783.87,628.79,16.59,32.35294118,15.83
Albania,Potatoes,2002,153868,901.64,691.75,16.47,97.58477509,14.99
Albania,Potatoes,2004,149346,1189.15,817.68,16.16,101.3079585,15.47
Albania,Potatoes,2005,167061,994.52,880.64,15.67,112.3754647,15.55
Albania,Potatoes,2006,170745,853.6,943.61,15.92,85.80308219,15.66
Albania,Potatoes,2007,188902,826.27,1006.57,16.67,88.42041522,16.0
Albania,Potatoes,2008,193878,800.1,1069.54,16.71,77.31147541,15.86
Albania,Potatoes,2009,219780,1207.21,1132.5,16.73,90.37931034,15.45
Albania,Potatoes,2010,231111,1372.06,1311.17,16.52,85.02236422,15.27
Albania,Potatoes,2011,242211,523.06,1302.63,16.45,97.4340836,16.5
Albania,Potatoes,2012,250538,922.28,766.25,16.7,93.06089485,16.39
Albania,Potatoes,2013,260110,854.59,982.32,17.41,88.1704748,15.56
Albania,"Rice, paddy",1990,23333,611.57,121.0,16.37,176.1658031,15.42
Albania,"Rice, paddy",1991,28538,831.29,121.0,15.36,54.15224913,14.89
Albania,"Rice, paddy",1992,40000,706.6,121.0,16.06,40.65743945,15.17
Albania,"Rice, paddy",1993,41786,707.24,121.0,16.05,31.00519931,15.78
Albania,Sorghum,1990,12500,611.57,121.0,16.37,176.1658031,15.42
Albania,Sorghum,1991,6667,831.29,121.0,15.36,54.15224913,14.89
Albania,Sorghum,1992,3747,706.6,121.0,16.06,40.65743945,15.17
Albania,Soybeans,1990,7000,611.57,121.0,16.37,176.1658031,15.42
Albania,Soybeans,1991,6066,831.29,121.0,15.36,54.15224913,14.89
Albania,Soybeans,1992,4507,706.6,121.0,16.06,40.65743945,15.17
Albania,Soybeans,1993,7998,707.24,121.0,16.05,31.00519931,15.78
Albania,Soybeans,1994,7927,783.94,201.0,16.96,25.59792028,15.9
Albania,Soybeans,1995,11791,1063.68,251.0,15.67,19.06412478,14.8
Albania,Soybeans,1996,15480,1022.04,313.96,15.64,11.26516464,14.44
Albania,Soybeans,1997,12768,632.99,376.93,15.9,8.996539792,15.79
Albania,Soybeans,1998,14327,970.91,439.89,16.27,43.32755633,15.85
Albania,Soybeans,1999,17143,978.25,502.86,16.57,18.37088388,15.35
Albania,Soybeans,2000,15000,715.87,565.82,16.67,32.35294118,15.96
Albania,Soybeans,2001,20000,783.87,628.79,16.59,32.35294118,15.83
Albania,Soybeans,2002,20000,901.64,691.75,16.47,97.58477509,14.99
Albania,Soybeans,2004,13333,1189.15,817.68,16.16,101.3079585,15.47
