Model,MAE,RMSE,MAPE (%),RMSPE (%),R²
LR,6320.933804914899,13765.486402764061,10.253761021569165,28.867033435957822,0.9795101151208259
RF,6195.430077045858,14693.116296530117,10.244186537003836,29.620391613742314,0.9766555187900443
XGB,6487.5752620832345,16141.573723379033,10.763307498905073,33.476945753292725,0.9718260238368907
LSTM,8925.201912460832,16758.960392425946,12.374096690003729,41.561374656789,0.9738604600482732
CNN,9246.538967766524,17266.938257660862,13.025080768728644,44.81840320696872,0.9722518225674465
